Date,Open,High,Low,Close,Adj Close,Volume,Day
2022-02-15,2.34,2.67,2.32,2.65,2.65,30348200,0
2022-02-16,2.55,2.607,2.48,2.51,2.51,15195300,1
2022-02-17,2.478,2.49,2.3,2.32,2.32,17768100,2
2022-02-18,2.34,2.36,2.16,2.17,2.17,37131400,3
2022-02-22,2.1,2.18,2,2.05,2.05,31350200,4
2022-02-23,2.12,2.12,1.98,2.01,2.01,26314500,5
2022-02-24,1.85,2.21,1.83,2.18,2.18,28251900,6
2022-02-25,2.15,2.28,2.063,2.27,2.27,27953500,7
2022-02-28,2.25,2.39,2.24,2.37,2.37,22483100,8
2022-03-01,2.37,2.39,2.23,2.27,2.27,21108700,9
2022-03-02,2.12,2.15,2.05,2.14,2.14,20755400,10
2022-03-03,2.142,2.17,1.95,1.97,1.97,20733000,11
2022-03-04,1.95,2.01,1.85,1.9,1.9,18256900,12
2022-03-07,1.88,2.03,1.87,1.99,1.99,20634700,13
2022-03-08,2,2.1,1.84,2.03,2.03,20893100,14
2022-03-09,2.07,2.13,2.02,2.1,2.1,11841900,15
2022-03-10,2.06,2.1,1.98,2.06,2.06,12468500,16
2022-03-11,2.04,2.08,1.85,1.88,1.88,16340800,17
2022-03-14,1.85,1.855,1.75,1.78,1.78,12807900,18
2022-03-15,1.77,1.775,1.6,1.7,1.7,30095800,19
2022-03-16,1.77,2,1.75,1.99,1.99,25625300,20
2022-03-17,1.91,2.14,1.835,2.12,2.12,19653400,21
2022-03-18,2.06,2.27,2.03,2.18,2.18,30273100,22
2022-03-21,2.18,2.2,2.06,2.13,2.13,14607400,23
2022-03-22,2.08,2.38,2.08,2.33,2.33,22630200,24
2022-03-23,2.3,2.48,2.25,2.39,2.39,24611100,25
2022-03-24,2.4,2.575,2.343,2.44,2.44,21943100,26
2022-03-25,2.41,2.422,2.28,2.32,2.32,12658300,27
2022-03-28,2.32,2.41,2.22,2.38,2.38,17607600,28
2022-03-29,2.44,2.58,2.435,2.54,2.54,17217500,29
2022-03-30,2.5,2.56,2.36,2.38,2.38,13175800,30
2022-03-31,2.4,2.4,2.23,2.25,2.25,13982000,31
2022-04-01,2.3,2.32,2.21,2.28,2.28,8849500,32
2022-04-04,2.33,2.53,2.27,2.5,2.5,12243800,33
2022-04-05,2.49,2.495,2.3,2.32,2.32,10352500,34
2022-04-06,2.27,2.27,2.14,2.21,2.21,14474900,35
2022-04-07,2.22,2.26,2.035,2.13,2.13,10450700,36
2022-04-08,2.13,2.19,2.055,2.1,2.1,9097700,37
2022-04-11,2.04,2.21,2.02,2.14,2.14,9555200,38
2022-04-12,2.21,2.28,2.07,2.09,2.09,13292900,39
2022-04-13,2.1,2.13,2.06,2.12,2.12,6971900,40
2022-04-14,2.11,2.12,2,2.02,2.02,14289600,41
2022-04-18,1.98,2,1.86,1.9,1.9,17823700,42
2022-04-19,1.9,2.1,1.88,2.08,2.08,18152200,43
2022-04-20,2.05,2.05,1.87,1.89,1.89,14514100,44
2022-04-21,1.93,1.97,1.81,1.81,1.81,14371600,45
2022-04-22,1.8,1.83,1.68,1.73,1.73,22530000,46
2022-04-25,1.7,1.82,1.69,1.81,1.81,18084100,47
2022-04-26,1.78,1.79,1.68,1.72,1.72,16361900,48
2022-04-27,1.72,1.8,1.7,1.7,1.7,16133000,49
2022-04-28,1.71,1.8,1.63,1.78,1.78,15703100,50
2022-04-29,1.78,1.85,1.69,1.7,1.7,14059800,51
2022-05-02,1.69,1.77,1.65,1.77,1.77,11393500,52
2022-05-03,1.75,1.81,1.7,1.76,1.76,12652400,53
2022-05-04,1.75,1.89,1.69,1.89,1.89,15515400,54
2022-05-05,1.81,1.84,1.69,1.7,1.7,15689800,55
2022-05-06,1.69,1.71,1.55,1.61,1.61,13919000,56
2022-05-09,1.55,1.58,1.44,1.44,1.44,15218500,57
2022-05-10,1.5,1.5,1.32,1.38,1.38,18784700,58
2022-05-11,1.37,1.39,1.22,1.25,1.25,25413500,59
2022-05-12,1.23,1.43,1.2,1.39,1.39,20762000,60
2022-05-13,1.42,1.56,1.41,1.54,1.54,22307900,61
2022-05-16,1.5,1.59,1.475,1.49,1.49,11941700,62
2022-05-17,1.52,1.61,1.51,1.6,1.6,12287000,63
2022-05-18,1.55,1.61,1.5,1.52,1.52,13810800,64
2022-05-19,1.48,1.665,1.48,1.59,1.59,15842700,65
2022-05-20,1.64,1.66,1.55,1.64,1.64,13747400,66
2022-05-23,1.64,1.64,1.53,1.62,1.62,9717200,67
2022-05-24,1.56,1.56,1.45,1.47,1.47,6922000,68
2022-05-25,1.49,1.62,1.45,1.61,1.61,8991100,69
2022-05-26,1.62,1.76,1.58,1.63,1.63,15958400,70
2022-05-27,1.64,1.8,1.64,1.8,1.8,13868300,71
2022-05-31,1.74,1.81,1.69,1.76,1.76,15820800,72
2022-06-01,1.78,1.82,1.66,1.7,1.7,10190300,73
2022-06-02,1.71,1.96,1.68,1.93,1.93,15446900,74
2022-06-03,1.87,1.95,1.79,1.79,1.79,9692500,75
2022-06-06,1.87,2.07,1.855,1.99,1.99,23955600,76
2022-06-07,1.95,2.05,1.88,2,2,14983800,77
2022-06-08,1.96,2.1,1.95,2.06,2.06,11765100,78
2022-06-09,2.04,2.05,1.91,1.95,1.95,14975000,79
2022-06-10,1.9,1.92,1.79,1.8,1.8,12661400,80
2022-06-13,1.7,1.76,1.6,1.6,1.6,11461500,81
2022-06-14,1.66,1.69,1.583,1.61,1.61,10746300,82
2022-06-15,1.64,1.76,1.615,1.73,1.73,14419400,83
2022-06-16,1.65,1.73,1.62,1.69,1.69,12192600,84
2022-06-17,1.69,1.94,1.68,1.87,1.87,19209100,85
2022-06-21,1.85,2.07,1.83,1.89,1.89,17612200,86
2022-06-22,1.87,1.95,1.84,1.87,1.87,12709600,87
2022-06-23,1.9,2.01,1.88,2.01,2.01,19349400,88
2022-06-24,2.03,2.12,1.91,1.95,1.95,83704900,89
2022-06-27,1.95,2.005,1.87,1.9,1.9,11338000,90
2022-06-28,1.93,1.94,1.79,1.79,1.79,11207400,91
2022-06-29,1.81,1.83,1.64,1.65,1.65,12481800,92
2022-06-30,1.63,1.64,1.55,1.6,1.6,12772700,93
2022-07-01,1.59,1.69,1.59,1.63,1.63,8057100,94
2022-07-05,1.6,1.79,1.57,1.76,1.76,13533300,95
2022-07-06,1.74,1.81,1.6,1.63,1.63,13563000,96
2022-07-07,1.64,1.72,1.6,1.7,1.7,12860700,97
2022-07-08,1.67,1.705,1.6,1.63,1.63,9360100,98
2022-07-11,1.62,1.625,1.48,1.48,1.48,12690600,99
2022-07-12,1.48,1.54,1.42,1.49,1.49,10154500,100
2022-07-13,1.46,1.53,1.43,1.51,1.51,7778700,101
2022-07-14,1.48,1.52,1.45,1.48,1.48,6480700,102
2022-07-15,1.51,1.54,1.44,1.49,1.49,8081300,103
2022-07-18,1.51,1.64,1.5,1.53,1.53,11332400,104
2022-07-19,1.54,1.62,1.53,1.59,1.59,7343600,105
2022-07-20,1.61,1.73,1.6,1.69,1.69,11209400,106
2022-07-21,1.67,1.72,1.64,1.71,1.71,7466800,107
2022-07-22,1.69,1.72,1.53,1.57,1.57,7741100,108
2022-07-25,1.55,1.56,1.5,1.51,1.51,5681100,109
2022-07-26,1.5,1.51,1.38,1.38,1.38,8909900,110
2022-07-27,1.43,1.435,1.37,1.42,1.42,8655000,111
2022-07-28,1.4,1.47,1.35,1.42,1.42,8936100,112
2022-07-29,1.41,1.5,1.37,1.5,1.5,13660000,113
2022-08-01,1.485,1.55,1.44,1.54,1.54,10989300,114
2022-08-02,1.5,1.65,1.5,1.6,1.6,9257100,115
2022-08-03,1.62,1.74,1.61,1.72,1.72,12374000,116
2022-08-04,1.71,1.79,1.69,1.74,1.74,10108900,117
2022-08-05,1.67,1.84,1.63,1.79,1.79,9230700,118
2022-08-08,1.81,1.92,1.76,1.85,1.85,17027000,119
2022-08-09,1.79,1.815,1.65,1.68,1.68,11231100,120
2022-08-10,1.72,1.76,1.66,1.7,1.7,9929200,121
2022-08-11,1.76,1.87,1.64,1.66,1.66,17635900,122
2022-08-12,1.69,1.72,1.62,1.69,1.69,10957400,123
2022-08-15,1.67,1.73,1.65,1.66,1.66,11192100,124
2022-08-16,1.645,1.785,1.56,1.77,1.77,25451100,125
2022-08-17,1.73,1.74,1.58,1.59,1.59,16231400,126
2022-08-18,1.58,1.605,1.51,1.54,1.54,8789900,127
2022-08-19,1.51,1.52,1.44,1.45,1.45,11469400,128
2022-08-22,1.43,1.43,1.36,1.36,1.36,8638000,129
2022-08-23,1.38,1.41,1.33,1.33,1.33,6891800,130
