Date,Open,High,Low,Close,Adj Close,Volume,Days
2020-12-16,22.75,23.799999,19.48,20.049999,20.049999,61185600,1
2020-12-17,21.5,23.9,21.1,22.27,22.27,28890900,2
2020-12-18,23.09,24.75,23.055,23.549999,23.549999,16525600,3
2020-12-21,23.875,24.15,22.809999,23.15,23.15,8260600,4
2020-12-22,23.77,23.799999,21.700001,22.190001,22.190001,6211300,5
2020-12-23,22.219999,22.5,20.92,20.940001,20.940001,6181100,6
2020-12-24,21.061001,21.15,19.92,20.09,20.09,4099700,7
2020-12-28,20.42,21.724001,19.57,19.610001,19.610001,6403300,8
2020-12-29,19.889999,19.9,18.16,18.639999,18.639999,7978400,9
2020-12-30,18.639999,19.025,17.5,17.58,17.58,8941300,10
2020-12-31,17.639999,18.379999,17.41,18.24,18.24,7855800,11
2021-01-04,18.530001,19.299999,17.82,19.24,19.24,5888700,12
2021-01-05,18.84,20.190001,18.75,19.799999,19.799999,4642700,13
2021-01-06,20,20.98,19.799999,20.82,20.82,6197300,14
2021-01-07,21.049999,21.58,20.15,20.93,20.93,4102100,15
2021-01-08,20.73,21.139999,19.700001,20.360001,20.360001,5687900,16
2021-01-11,19.802999,20.200001,19.139999,19.610001,19.610001,4180400,17
2021-01-12,19.799999,21,19.799999,20.940001,20.940001,5734200,18
2021-01-13,20.940001,24.605,20.9,23.92,23.92,10829500,19
2021-01-14,24.360001,28.25,23.780001,28.129999,28.129999,14426700,20
2021-01-15,26.690001,27.1,24.4,24.834999,24.834999,9589100,21
2021-01-19,25.68,26.99,25,26.09,26.09,4525200,22
2021-01-20,26.139999,26.5,25.6,25.85,25.85,3312600,23
2021-01-21,25.73,26.018,24.450001,24.84,24.84,3079500,24
2021-01-22,24.27,25.17,23.9,24.75,24.75,2740400,25
2021-01-25,25.469999,29.370001,25.25,25.65,25.65,9439300,26
2021-01-26,26.950001,27.969999,26.6,27.1,27.1,3938900,27
2021-01-27,26.49,31.49,26.4,29.99,29.99,8895300,28
2021-01-28,30.120001,32.849998,28.200001,28.450001,28.450001,6080000,29
2021-01-29,28.9,30.4,28.75,30.07,30.07,3846200,30
2021-02-01,31.85,32.200001,30.18,31.190001,31.190001,2925300,31
2021-02-02,32,32.18,28.280001,29.15,29.15,4313200,32
2021-02-03,29.23,30.23,28.870001,28.99,28.99,1886300,33
2021-02-04,29.15,29.67,28.52,29.299999,29.299999,1410500,34
2021-02-05,29.77,30,28.4,28.6,28.6,2513600,35
2021-02-08,29.049999,29.17,27.299999,28.209999,28.209999,3362700,36
2021-02-09,27.66,30.25,27.610001,29.530001,29.530001,2284500,37
2021-02-10,29.700001,30.879999,28.309999,28.68,28.68,2327500,38
